sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.182,313.4,333.7,333.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.192,314.2,320.9,320.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.202,314.7,304.6,304.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.212,314.5,285.5,285.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.222,314.2,264.5,264.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.232,313.7,242.9,242.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.242,312.9,226.1,226.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.252,312,212.7,212.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.262,310.9,201.7,201.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.272,309.6,192.3,192.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.282,307.5,184.6,184.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.292,304.6,178.2,178.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.302,291.3,174.7,174.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.312,271.6,173.3,173.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.322,245.4,NA,NA,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.332,229.7,152.9,152.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.342,218.1,152.8,152.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.352,210.4,152.4,152.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.362,200.3,150.4,150.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.372,187,147.3,147.3,log
