Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification,allocator-cukp,randomiser-fgpw
363,1741999296304,"15/03/2025, 00:41:36",1741984896304,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,Frequency of use,response,value,,,,Country 1 Frequency,4,object-20,English,,,,,,,,,,,,,,,spreadsheet1,
364,1741999296305,"15/03/2025, 00:41:36",1741984896305,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,Frequency of use,response,quantised,,,,Country 1 Frequency,4,object-20,English,,,,,,,,,,,,,,,spreadsheet1,
365,1741999296306,"15/03/2025, 00:41:36",1741984896306,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Country 2-value,,,,Country 2,5,object-21,English,,,,,,,,,,,,,,,spreadsheet1,
366,1741999296307,"15/03/2025, 00:41:36",1741984896307,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 2,5,object-21,English,,,,,,,,,,,,,,,spreadsheet1,
367,1741999296308,"15/03/2025, 00:41:36",1741984896308,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Language-value,,,,Country 2,5,object-21,English,,,,,,,,,,,,,,,spreadsheet1,
368,1741999296309,"15/03/2025, 00:41:36",1741984896309,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,Frequency of use,response,value,,,,Country 2 Frequency,6,object-81,English,,,,,,,,,,,,,,,spreadsheet1,
369,1741999296310,"15/03/2025, 00:41:36",1741984896310,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,Frequency of use,response,quantised,,,,Country 2 Frequency,6,object-81,English,,,,,,,,,,,,,,,spreadsheet1,
370,1741999296312,"15/03/2025, 00:41:36",1741984896312,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Country 3-value,,,,Country 3,7,object-23,English,,,,,,,,,,,,,,,spreadsheet1,
371,1741999296313,"15/03/2025, 00:41:36",1741984896313,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 3,7,object-23,English,,,,,,,,,,,,,,,spreadsheet1,
372,1741999296314,"15/03/2025, 00:41:36",1741984896314,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Language-value,,,,Country 3,7,object-23,English,,,,,,,,,,,,,,,spreadsheet1,
