"ID","condition","response","reaction_time","sound","pair","language","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","first_dim_step","second_dim_step","norm_response","log_rt","median_rt","mad","upper_mad","lower_mad"
"5114","spreadsheet4",12,2036.4000000007215,"T_TT_dur_2_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,5,12,7.618938822028535,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",9,2285.299999999581,"T_TT_dur_2_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,5,9,7.7342525857386555,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",99,2212.2000000007683,"T_TT_dur_3_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,1,99,7.701742774468501,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",7,2434.800000000745,"T_TT_dur_3_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,1,7,7.797619896620075,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",11,2147,"T_TT_dur_3_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,1,11,7.671826797878781,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",10,1465.199999999255,"T_TT_dur_3_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,2,10,7.2897470309041505,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",6,1024.3000000000466,"T_TT_dur_3_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,2,6,6.931764731442534,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",18,1589.1000000000931,"T_TT_dur_3_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,2,18,7.3709230972186495,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",7,996.1999999992548,"T_TT_dur_3_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,3,7,6.903948040638435,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",10,1151.0999999991618,"T_TT_dur_3_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,3,10,7.048473285920288,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",56,1564.800000000745,"T_TT_dur_3_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,4,56,7.355513299281029,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",15,1252.9000000003723,"T_TT_dur_3_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,4,15,7.133216143251804,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",11,1136.9999999998836,"T_TT_dur_3_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,4,11,7.036148493750433,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",2,1226.0000000003492,"T_TT_dur_3_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,5,2,7.111512116496441,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",9,2353.5000000006985,"T_TT_dur_3_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,5,9,7.763658860841494,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",8,1675.4000000003723,"T_TT_dur_3_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",3,5,8,7.423807221719931,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",6,2168.300000000396,"T_TT_dur_4_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,1,6,7.681698729370354,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",7,1101.5,"T_TT_dur_4_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,1,7,7.0044281662423975,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",85,1232.3999999992084,"T_TT_dur_4_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,1,85,7.1167187667218705,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",10,1469.399999999674,"T_TT_dur_4_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,2,10,7.292609433185955,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",2,960.1999999999534,"T_TT_dur_4_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,2,2,6.867141596096792,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",89,1697.0999999991618,"T_TT_dur_4_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,2,89,7.436676191016725,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",12,1452.300000000745,"T_TT_dur_4_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,3,12,7.280903785614272,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",6,1680.200000000652,"T_TT_dur_4_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,3,6,7.426668112931135,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",6,1170.6000000007916,"T_TT_dur_4_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,3,6,7.065271716857797,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",42,1578.5000000003492,"T_TT_dur_4_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,4,42,7.364230307998268,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",4,2337.9999999993015,"T_TT_dur_4_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,4,4,7.757051142031715,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",85,1421.1000000007916,"T_TT_dur_4_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,4,85,7.259186498598373,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",8,1229.800000000745,"T_TT_dur_4_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,5,8,7.114606833519975,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",91,1245,"T_TT_dur_4_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,5,91,7.126890808898808,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",89,1429.699999999255,"T_TT_dur_4_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",4,5,89,7.265219911034597,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",99,1002.5000000006984,"T_TT_dur_5_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",5,1,99,6.910252159181421,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",55,1845.200000000419,"T_TT_dur_5_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",5,1,55,7.520342951683893,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",27,1202.5000000006985,"T_TT_dur_5_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",5,1,27,7.092158001980497,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",97,1354.5999999999767,"T_TT_dur_5_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",5,2,97,7.211261486780786,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",88,1119.699999999255,"T_TT_dur_5_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",5,2,88,7.020816071265486,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",18,1397.799999999348,"T_TT_dur_5_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",5,2,18,7.242654851042563,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",6,1336.9999999993015,"T_TT_dur_5_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",5,3,6,7.198183577101421,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
