ID	prepost	pair	first_dim_step	norm_response
4	Pre	indent-intent	3	46
4	Pre	indent-intent	4	56
4	Pre	indent-intent	4	52
4	Pre	indent-intent	4	55
4	Pre	indent-intent	4	55
4	Pre	indent-intent	5	71
4	Pre	indent-intent	5	62
4	Pre	indent-intent	5	74
4	Pre	indent-intent	5	79
4	Pre	indent-intent	6	80
4	Pre	indent-intent	6	66
4	Pre	indent-intent	6	69
4	Pre	indent-intent	6	79
4	Pre	indent-intent	7	87
4	Pre	indent-intent	7	72
4	Pre	indent-intent	7	85
4	Pre	indent-intent	7	91
4	Pre	reason-risen	1	5
4	Pre	reason-risen	1	11
4	Pre	reason-risen	1	9
4	Pre	reason-risen	1	7
4	Pre	reason-risen	2	6
4	Pre	reason-risen	2	28
4	Pre	reason-risen	2	37
4	Pre	reason-risen	2	10
4	Pre	reason-risen	3	16
4	Pre	reason-risen	3	2
4	Pre	reason-risen	3	32
4	Pre	reason-risen	3	34
4	Pre	reason-risen	4	30
4	Pre	reason-risen	4	32
4	Pre	reason-risen	4	64
4	Pre	reason-risen	4	58
4	Pre	reason-risen	5	40
4	Pre	reason-risen	5	35
4	Pre	reason-risen	5	56
4	Pre	reason-risen	5	59
4	Pre	reason-risen	6	69
4	Pre	reason-risen	6	61
4	Pre	reason-risen	6	64
4	Pre	reason-risen	7	88
4	Pre	reason-risen	7	81
4	Pre	reason-risen	7	88
4	Pre	reason-risen	7	90
4	Pre	kata-katta	1	16
4	Pre	kata-katta	1	19
4	Pre	kata-katta	1	26
4	Pre	kata-katta	1	22
4	Pre	kata-katta	2	57
4	Pre	kata-katta	2	42
4	Pre	kata-katta	2	49
4	Pre	kata-katta	2	43
4	Pre	kata-katta	3	43
4	Pre	kata-katta	3	50
4	Pre	kata-katta	3	33
4	Pre	kata-katta	3	42
4	Pre	kata-katta	4	66
4	Pre	kata-katta	4	40
4	Pre	kata-katta	4	54
4	Pre	kata-katta	4	60
4	Pre	kata-katta	5	68
4	Pre	kata-katta	5	57
4	Pre	kata-katta	5	55
4	Pre	kata-katta	5	43
4	Pre	kata-katta	6	55
4	Pre	kata-katta	6	51
4	Pre	kata-katta	6	63
4	Pre	kata-katta	6	59
4	Pre	kata-katta	7	75
4	Pre	kata-katta	7	61
4	Pre	kata-katta	7	65
4	Pre	kata-katta	7	77
4	Pre	toru-tooru	1	2
4	Pre	toru-tooru	1	7
4	Pre	toru-tooru	1	31
4	Pre	toru-tooru	1	15
4	Pre	toru-tooru	2	41
4	Pre	toru-tooru	2	40
4	Pre	toru-tooru	2	23
4	Pre	toru-tooru	2	21
4	Pre	toru-tooru	3	57
4	Pre	toru-tooru	3	57
4	Pre	toru-tooru	3	41
4	Pre	toru-tooru	3	61
4	Pre	toru-tooru	4	68
4	Pre	toru-tooru	4	58
4	Pre	toru-tooru	4	59
4	Pre	toru-tooru	4	58
4	Pre	toru-tooru	5	76
4	Pre	toru-tooru	5	61
4	Pre	toru-tooru	5	61
4	Pre	toru-tooru	5	59
4	Pre	toru-tooru	6	92
4	Pre	toru-tooru	6	77
4	Pre	toru-tooru	6	68
4	Pre	toru-tooru	6	82
4	Pre	toru-tooru	7	64
4	Pre	toru-tooru	7	89
4	Pre	toru-tooru	7	75
4	Pre	toru-tooru	7	73
4	Post	indent-intent	1	30
4	Post	indent-intent	1	37
4	Post	indent-intent	1	28
4	Post	indent-intent	1	32
4	Post	indent-intent	2	37
4	Post	indent-intent	2	33
4	Post	indent-intent	2	28
4	Post	indent-intent	3	40
4	Post	indent-intent	3	45
4	Post	indent-intent	4	45
4	Post	indent-intent	4	57
4	Post	indent-intent	4	60
4	Post	indent-intent	4	41
4	Post	indent-intent	5	57
4	Post	indent-intent	5	61
4	Post	indent-intent	5	56
4	Post	indent-intent	5	59
4	Post	indent-intent	6	64
4	Post	indent-intent	6	65
4	Post	indent-intent	7	69
4	Post	indent-intent	7	66
4	Post	indent-intent	7	77
4	Post	reason-risen	1	25
4	Post	reason-risen	1	19
4	Post	reason-risen	1	26
4	Post	reason-risen	1	32
4	Post	reason-risen	2	27
4	Post	reason-risen	2	29
4	Post	reason-risen	2	36
4	Post	reason-risen	3	36
