"local_date","ID","exp_group","prepost","pretraining_condition","posttraining_condition","response","reaction_time","sound","pair","language","first_dim_step","second_dim_step","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","norm_response","days_between"
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2533.6999999999534,"T_TT_dur_3_F0_3.mp3","kata-katta","Japanese",3,3,"katta","kata","yes","kata","katta",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,1742.600000023842,"T_TT_dur_2_F0_3.mp3","kata-katta","Japanese",2,3,"katta","kata","yes","kata","katta",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,1815.5999999761696,"T_TT_dur_1_F0_3.mp3","kata-katta","Japanese",1,3,"katta","kata","yes","kata","katta",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,1783.2999999999884,"T_TT_dur_3_F0_3.mp3","kata-katta","Japanese",3,3,"katta","kata","yes","kata","katta",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,1631.7000000476835,"T_TT_dur_3_F0_3.mp3","kata-katta","Japanese",3,3,"katta","kata","yes","kata","katta",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2879.5999999999767,"T_TT_dur_7_F0_3.mp3","kata-katta","Japanese",7,3,"katta","kata","yes","kata","katta",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,4025.4000000715023,"T_TT_dur_5_F0_3.mp3","kata-katta","Japanese",5,3,"katta","kata","yes","kata","katta",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2106.3000000237953,"T_TT_dur_7_F0_3.mp3","kata-katta","Japanese",7,3,"katta","kata","yes","kata","katta",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2144.5,"T_TT_dur_1_F0_3.mp3","kata-katta","Japanese",1,3,"katta","kata","yes","kata","katta",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",40,11458.099999999977,"T_TT_dur_5_F0_3.mp3","kata-katta","Japanese",5,3,"katta","kata","yes","kata","katta",60,0
