"local_date","ID","exp_group","prepost","response","reaction_time","correct","sentence","key_word","sound","correct_answer","competing_distractor","non_competing_distractor_1","non_competing_distractor_2","origin_task","length","segment_type","phoneme_quality","phoneme_identity","word_position","c_label","cd_label","ncd1_label","ncd2_label","example","days_between"
"2025-05-03","2","Control","Post","shiteiru",14776.399999999994,1,"かのじょはもう___。","shiteiru_s","F_shiteiru_s.mp3","shiteiru","shitteiru","shiiteiru","jiteiru","testing","short","consonant","t","t","medial","している","しっている","しいている","じている","correct",39
"2025-05-03","2","Control","Post","shuchoo",18689.600000005972,1,"じぶんだけの___です。","shuchoo_s","F_shuchoo_s.mp3","shuchoo","shucchoo","juchoo","shuuchoo","testing","short","consonant","ch","ch","medial","しゅちょう","しゅっちょう","じゅちょう","しゅうちょう","correct",39
"2025-05-03","2","Control","Post","ishoku",32294.099999982107,0,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training","long","consonant","sh","ssh","medial","いっしょく","いしょく","いいしょく","いっそく","correct",39
"2025-05-03","2","Control","Post","obaasan",15354.199999982113,0,"あのひと、___ですか？","obasan_s","F_obasan_s.mp3","obasan","obaasan","oobasan","obaisan","training","short","vowel","a","a","medial","おばさん","おばあさん","おおばさん","おばいさん","correct",39
"2025-05-03","2","Control","Post","tannin",8893.199999982113,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing","long","consonant","n","nn","medial","たんにん","たにん","たいいん","たいにん","correct",39
"2025-05-03","2","Control","Post","juutaku",14203.79999998212,1,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training","long","vowel","u","uu","medial","じゅうたく","じゅたく","じゅったく","しゅうたく","correct",39
"2025-05-03","2","Control","Post","itte",8137.5,1,"もう、___よ！","itte_s","F_itte_s.mp3","itte","ite","ittee","iitte","training","long","consonant","t","tt","medial","いって","いて","いってい","いいって","correct",39
"2025-05-03","2","Control","Post","gaki",10444.49999998213,1,"___はどうなったの？","gaki_s","F_gaki_s.mp3","gaki","gakki","gakui","kaki","training","short","consonant","k","k","medial","がき","がっき","がくい","かき","correct",39
"2025-05-03","2","Control","Post","otoo",20138.79999999999,0,"そのことばは「___」とよみます。","oto_s","F_oto_s.mp3","oto","otto","ooto","otoo","training","short","consonant","t","t","medial","おと","おっと","おうと","おとう","correct",39
"2025-05-03","2","Control","Post","juyoo",56381.90000000002,1,"「___」ってどういういみですか？","juyoo_s","F_juyoo_s.mp3","juyoo","juuyoo","juyo","shuyoo","testing","short","vowel","u","u","medial","じゅよう","じゅうよう","じゅよ","しゅよう","correct",39
