"local_date","session","ID","exp_group","response","reaction_time","log_rt","correct","language","word_pair","signal","type","sound_1","sound_2","speaker_signal","segment_type","task","days_between","dprime_response"
"2025-04-28","1","4","High LD","same",659.0000000000582,6.490723534502596,1,"Japanese","haku-haaku","same","BB","F_haaku.mp3","M_haaku.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",2044.2999999999304,7.622810711590928,1,"Japanese","ite-itte","same","AA","F_ite.mp3","F_ite.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",432.2000000000117,6.068888444072813,1,"Japanese","nishi-nisshi","different","AB","M_nishi.mp3","M_nisshi.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",269.4000000000233,5.59619726397635,1,"Japanese","ite-itte","different","BA","M_itte.mp3","F_ite.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",1158.2999999999302,7.05470869193824,1,"MSA","ru7-ruu7","same","AA","F_ru7.mp3","F_ru7.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",316.20000000001164,5.756374924775408,1,"MSA","bashara-bashshara","same","AA","F_bashara.mp3","F_bashara.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",319.89999999990687,5.768008446955181,1,"MSA","watara-wattara","different","AB","M_watara.mp3","M_wattara.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",311.79999999993015,5.742361956623452,1,"MSA","kataba-kaataba","same","AA","F_kataba.mp3","F_kataba.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",326.69999999995343,5.789042318606882,0,"MSA","kasara-kassara","different","BA","M_kassara.mp3","F_kasara.mp3","different","consonant","training",26,"miss"
"2025-04-28","1","4","High LD","same",265.0999999999767,5.580107113294892,1,"MSA","bashara-bashshara","same","AA","M_bashara.mp3","M_bashara.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",313.3999999999651,5.747480329921809,1,"MSA","rakaza-rakkaza","same","AA","M_rakaza.mp3","M_rakaza.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",1250,7.1308988302963465,0,"MSA","ful-fuul","same","AA","M_ful.mp3","F_ful.mp3","different","vowel","training",26,"false_alarm"
"2025-04-28","1","4","High LD","same",785.6999999998952,6.666575040181643,0,"MSA","ru7-ruu7","different","AB","M_ru7.mp3","M_ruu7.mp3","same","vowel","training",26,"miss"
"2025-04-28","1","4","High LD","same",482.9000000000233,6.179809592879544,0,"MSA","watara-wattara","different","BA","M_wattara.mp3","F_watara.mp3","different","consonant","training",26,"miss"
"2025-04-28","1","4","High LD","same",310.20000000006985,5.737217250742663,1,"MSA","watara-wattara","same","AA","M_watara.mp3","F_watara.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",313.4000000000233,5.747480329921995,1,"MSA","dhakara-dhakkara","same","BB","F_dhakkara.mp3","F_dhakkara.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",382.20000000006985,5.945944031806356,0,"MSA","matana-mattana","different","AB","M_matana.mp3","F_mattana.mp3","different","consonant","training",26,"miss"
"2025-04-28","1","4","High LD","different",753.7000000000698,6.624994410849517,1,"MSA","bashara-bashshara","different","AB","M_bashara.mp3","M_bashshara.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",386.5000000001164,5.957131868027778,1,"MSA","dhakara-dhakkara","different","AB","M_dhakara.mp3","M_dhakkara.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",302.19999999995343,5.711089049838485,1,"MSA","sakata-sakkata","different","AB","M_sakata.mp3","M_sakkata.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",890.3000000000466,6.791558484579678,1,"MSA","kataba-kaataba","same","AA","F_kataba.mp3","M_kataba.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",589.4000000000815,6.379105070303733,1,"MSA","3alim-3aliim","same","AA","M_3alim.mp3","F_3alim.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",624.0999999999767,6.43631061193996,1,"MSA","rashada-rashshada","different","BA","F_rashshada.mp3","F_rashada.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",573.9000000000233,6.352455165114358,0,"MSA","rasaba-rassaba","different","BA","M_rassaba.mp3","F_rasaba.mp3","different","consonant","training",26,"miss"
"2025-04-28","1","4","High LD","same",1595.9999999999418,7.375255778009717,1,"MSA","nashaTa-nashshaTa","same","AA","M_nashaTa.mp3","F_nashaTa.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",320.5999999999767,5.77019424017538,1,"MSA","3atama-3attama","same","AA","F_3atama.mp3","M_3atama.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",2955.5000000001164,7.9914231202644634,1,"MSA","3alim-3aliim","different","AB","F_3alim.mp3","F_3aliim.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",338.20000000006985,5.823637436464686,1,"MSA","kataba-kaataba","same","BB","F_kaataba.mp3","F_kaataba.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",436.29999999993015,6.078330080129404,1,"MSA","bashara-bashshara","same","BB","F_bashshara.mp3","F_bashshara.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",793.7999999999884,6.67683154034895,1,"MSA","rashada-rashshada","same","BB","F_rashshada.mp3","F_rashshada.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",566.5999999999767,6.339653587396375,1,"MSA","dakhala-daakhala","different","BA","M_daakhala.mp3","M_dakhala.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","different",587.2999999999302,6.375535762528355,1,"MSA","dakhala-daakhala","different","BA","M_daakhala.mp3","F_dakhala.mp3","different","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",686.9000000000815,6.5321887212199545,1,"MSA","ru7-ruu7","same","AA","F_ru7.mp3","M_ru7.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",754.7000000000698,6.626320319290915,1,"MSA","dakhala-daakhala","same","AA","F_dakhala.mp3","F_dakhala.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",745.9999999998836,6.614725600203605,1,"MSA","kasara-kassara","different","BA","M_kassara.mp3","M_kasara.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",662.2999999999884,6.495718625490916,0,"MSA","rasaba-rassaba","same","BB","M_rassaba.mp3","F_rassaba.mp3","different","consonant","training",26,"false_alarm"
"2025-04-28","1","4","High LD","same",257.30000000004657,5.55024271928788,1,"MSA","3alim-3aliim","same","BB","M_3aliim.mp3","F_3aliim.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",492.9000000000815,6.200306313711497,0,"MSA","3atama-3attama","same","AA","F_3atama.mp3","M_3atama.mp3","different","consonant","training",26,"false_alarm"
"2025-04-28","1","4","High LD","different",461.9999999999418,6.1355648910816125,0,"MSA","kasara-kassara","same","BB","M_kassara.mp3","F_kassara.mp3","different","consonant","training",26,"false_alarm"
"2025-04-28","1","4","High LD","same",471.7000000000117,6.156343190290241,1,"MSA","kasara-kassara","same","AA","M_kasara.mp3","M_kasara.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",412.5999999999185,6.022478600636954,1,"MSA","basaTa-bassaTa","different","AB","M_basaTa.mp3","M_bassaTa.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",836.5000000000582,6.729226520426948,1,"MSA","zinah-ziinah","same","AA","M_zinah.mp3","F_zinah.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",865.5,6.7633073746162635,1,"MSA","bashara-bashshara","different","AB","M_bashara.mp3","F_bashshara.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",1001.2999999999302,6.9090544347136875,0,"MSA","rashada-rashshada","different","AB","M_rashada.mp3","M_rashshada.mp3","same","consonant","training",26,"miss"
"2025-04-28","1","4","High LD","same",958.3999999999068,6.865265227361087,1,"MSA","dakhala-daakhala","same","BB","F_daakhala.mp3","F_daakhala.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",587.8000000000466,6.376386753984896,1,"MSA","dakhala-daakhala","same","BB","M_daakhala.mp3","F_daakhala.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",876,6.775366090936392,1,"MSA","watara-wattara","different","AB","F_watara.mp3","F_wattara.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",449.79999999993015,6.10880303952506,1,"MSA","kataba-kaataba","different","AB","F_kataba.mp3","F_kaataba.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",2548.20000000007,7.8431425065473075,0,"MSA","basaTa-bassaTa","different","AB","F_basaTa.mp3","M_bassaTa.mp3","different","consonant","training",26,"miss"
"2025-04-28","1","4","High LD","same",472.80000000004657,6.158672466091987,1,"MSA","basaTa-bassaTa","same","BB","F_bassaTa.mp3","F_bassaTa.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",1936.1000000000931,7.568430919395167,0,"MSA","dhakara-dhakkara","different","AB","F_dhakara.mp3","F_dhakkara.mp3","same","consonant","training",26,"miss"
"2025-04-28","1","4","High LD","same",1680,7.426549072397305,1,"MSA","3alim-3aliim","same","BB","F_3aliim.mp3","M_3aliim.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",745.0999999998603,6.613518437559494,1,"MSA","bashara-bashshara","different","BA","M_bashshara.mp3","F_bashara.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",1073.5999999999767,6.9787727662173955,1,"MSA","kasara-kassara","different","AB","F_kasara.mp3","F_kassara.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",428.4000000000233,6.060057338573648,1,"MSA","rasaba-rassaba","different","AB","M_rasaba.mp3","F_rassaba.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",1588.4000000000233,7.370482499257111,1,"MSA","3atama-3attama","same","BB","F_3attama.mp3","M_3attama.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",311.69999999995343,5.742041186773142,1,"MSA","kasara-kassara","different","AB","F_kasara.mp3","M_kassara.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",378.5000000001164,5.936216072877811,1,"MSA","dhakara-dhakkara","same","AA","F_dhakara.mp3","M_dhakara.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",983.9000000000232,6.891524265871744,1,"MSA","3atama-3attama","different","BA","M_3attama.mp3","F_3atama.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",919.1000000000932,6.823394930364166,1,"MSA","rasaba-rassaba","same","BB","M_rassaba.mp3","M_rassaba.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",974.8000000000466,6.882232321751099,1,"MSA","dakhala-daakhala","different","AB","F_dakhala.mp3","F_daakhala.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",1410.9000000000233,7.251983077619128,0,"MSA","3alim-3aliim","different","AB","F_3alim.mp3","M_3aliim.mp3","different","vowel","training",26,"miss"
"2025-04-28","1","4","High LD","different",1151.5,7.04882071926074,1,"MSA","dhakara-dhakkara","different","BA","F_dhakkara.mp3","F_dhakara.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",2523.0999999999767,7.833243583210325,1,"MSA","watara-wattara","same","BB","F_wattara.mp3","F_wattara.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",848.4000000000233,6.743352222690555,1,"MSA","zinah-ziinah","same","BB","M_ziinah.mp3","F_ziinah.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",1134,7.033506484287697,1,"MSA","dakhala-daakhala","different","AB","M_dakhala.mp3","M_daakhala.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",766.6000000000931,6.641965152946576,1,"MSA","matana-mattana","same","BB","F_mattana.mp3","M_mattana.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",373.70000000006985,5.923453336491625,1,"MSA","3alim-3aliim","same","AA","M_3alim.mp3","F_3alim.mp3","different","vowel","training",26,"corr_reject"
