ID	pair	second_dim_step	first_dim_step	norm_response	pred
5031	kata-katta	5	5	28	55.7428395366946
5031	kata-katta	5	5	100	55.7428395366946
5031	kata-katta	1	6	19	40.1673262797483
5031	kata-katta	1	6	17	40.1673262797483
5031	kata-katta	1	6	31	40.1673262797483
5031	kata-katta	2	6	25	48.8462595492237
5031	kata-katta	2	6	90	48.8462595492237
5031	kata-katta	2	6	21	48.8462595492237
5031	kata-katta	3	6	50	54.4474246339803
5031	kata-katta	3	6	65	54.4474246339803
5031	kata-katta	3	6	31	54.4474246339803
5031	kata-katta	4	6	68	55.7752814119811
5031	kata-katta	4	6	90	55.7752814119811
5031	kata-katta	4	6	70	55.7752814119811
5031	kata-katta	5	6	75	55.9988067696821
5031	kata-katta	5	6	65	55.9988067696821
5031	kata-katta	5	6	30	55.9988067696821
5031	kata-katta	1	7	26	49.3814264324708
5031	kata-katta	1	7	70	49.3814264324708
5031	kata-katta	1	7	64	49.3814264324708
5031	kata-katta	2	7	21	54.6110117418678
5031	kata-katta	2	7	72	54.6110117418678
5031	kata-katta	2	7	70	54.6110117418678
5031	kata-katta	3	7	81	55.8042291355183
5031	kata-katta	3	7	66	55.8042291355183
5031	kata-katta	3	7	17	55.8042291355183
5031	kata-katta	4	7	28	56.0034033859978
5031	kata-katta	4	7	79	56.0034033859978
5031	kata-katta	4	7	78	56.0034033859978
5031	kata-katta	5	7	16	56.0347312846795
5031	kata-katta	5	7	71	56.0347312846795
5031	kata-katta	5	7	18	56.0347312846795
5031	reason-risen	1	1	25	19.927213520511
5031	reason-risen	1	1	30	19.927213520511
5031	reason-risen	1	1	33	19.927213520511
5031	reason-risen	2	1	33	20.0979350624846
5031	reason-risen	2	1	13	20.0979350624846
5031	reason-risen	2	1	11	20.0979350624846
5031	reason-risen	3	1	29	20.3067653038376
5031	reason-risen	3	1	10	20.3067653038376
5031	reason-risen	3	1	10	20.3067653038376
5031	reason-risen	4	1	36	20.5619223116478
5031	reason-risen	4	1	15	20.5619223116478
5031	reason-risen	4	1	7	20.5619223116478
5031	reason-risen	5	1	24	20.8732529177685
5031	reason-risen	5	1	32	20.8732529177685
5031	reason-risen	5	1	29	20.8732529177685
5031	reason-risen	1	2	28	21.1838908944389
5031	reason-risen	1	2	15	21.1838908944389
5031	reason-risen	1	2	21	21.1838908944389
5031	reason-risen	2	2	26	21.6301734901601
5031	reason-risen	2	2	26	21.6301734901601
5031	reason-risen	2	2	22	21.6301734901601
5031	reason-risen	3	2	6	22.1715682282079
5031	reason-risen	3	2	3	22.1715682282079
5031	reason-risen	4	2	13	22.8264251866573
5031	reason-risen	4	2	20	22.8264251866573
5031	reason-risen	4	2	11	22.8264251866573
5031	reason-risen	5	2	32	23.6157234781979
5031	reason-risen	5	2	28	23.6157234781979
5031	reason-risen	5	2	3	23.6157234781979
5031	reason-risen	1	3	21	24.3928089597606
5031	reason-risen	1	3	30	24.3928089597606
5031	reason-risen	1	3	20	24.3928089597606
5031	reason-risen	2	3	7	25.4913506228899
5031	reason-risen	2	3	18	25.4913506228899
5031	reason-risen	2	3	19	25.4913506228899
5031	reason-risen	3	3	50	26.7964955377119
5031	reason-risen	3	3	28	26.7964955377119
5031	reason-risen	3	3	28	26.7964955377119
5031	reason-risen	4	3	50	28.3362151294644
5031	reason-risen	4	3	26	28.3362151294644
5031	reason-risen	4	3	9	28.3362151294644
5031	reason-risen	5	3	77	30.1376462457424
5031	reason-risen	5	3	50	30.1376462457424
5031	reason-risen	5	3	22	30.1376462457424
5031	reason-risen	1	4	41	31.8556997478339
5031	reason-risen	1	4	36	31.8556997478339
5031	reason-risen	1	4	22	31.8556997478339
5031	reason-risen	2	4	39	34.1953985788805
