"ID","exp_group","prepost","response","reaction_time","correct","sentence","key_word","sound","correct_answer","competing_distractor","non_competing_distractor_1","non_competing_distractor_2","origin_task","days_between","log_rt"
"6","Low LD","Pre","juyoo",11393.30000004769,1,"「___」ってどういういみですか？","juyoo_s","F_juyoo_s.mp3","juyoo","juuyoo","juyo","shuyoo","testing",32,9.340780742313841
"6","Low LD","Pre","haaku",6256.399999999994,1,"___でしょうかな。","haaku_s","F_haaku_s.mp3","haaku","haku","hakku","hakuu","training",32,8.741360218800086
"6","Low LD","Pre","tannin",10934.099999999977,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing",32,9.299641625196914
"6","Low LD","Pre","kasee",10807.400000000023,1,"___についてもっとしりたいです。","kasee_s","F_kasee_s.mp3","kasee","kassee","kase","kosee","training",32,9.2879863636653
"6","Low LD","Pre","shitteiru",8261.69999995231,0,"かのじょはもう___。","shiteiru_s","F_shiteiru_s.mp3","shiteiru","shitteiru","shiiteiru","jiteiru","testing",32,9.019385656471059
"6","Low LD","Pre","iitte",13145.999999999942,0,"もう、___よ！","itte_s","F_itte_s.mp3","itte","ite","ittee","iitte","training",32,9.483872808823516
"6","Low LD","Pre","gakki",7727.000000000058,0,"___はどうなったの？","gaki_s","F_gaki_s.mp3","gaki","gakki","gakui","kaki","training",32,8.95247596793359
"6","Low LD","Pre","juttaku",14853.199999976148,0,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training",32,9.605970609230477
"6","Low LD","Post","iitai",8973.5,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing",32,9.102031068469332
"6","Low LD","Post","tannin",13016.899999928475,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing",32,9.4740037921698
"6","Low LD","Post","ojiisan",10027.09999995232,1,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training",32,9.213046706542142
"6","Low LD","Post","hossoku",19544.09999995232,1,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing",32,9.880428729581892
"6","Low LD","Post","meshi",8535.499999976164,1,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing",32,9.051989215818015
"6","Low LD","Post","kasee",8963.700000023848,1,"___についてもっとしりたいです。","kasee_s","F_kasee_s.mp3","kasee","kassee","kase","kosee","training",32,9.100938367161296
"6","Low LD","Post","shushin",13375.799999952316,1,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing",32,9.501202383056023
"6","Low LD","Post","juutaku",11411.099999999991,1,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training",32,9.342341844870122
"6","Low LD","Post","ikkoo",15739.300000000005,1,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing",32,9.663916048301388
"6","Low LD","Post","isshoku",7969.3000000000175,1,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training",32,8.983351938566939
