"local_date","day","ID","response","reaction_time","correct","condition","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","log_rt","median_rt","mad","upper_mad","lower_mad"
"2025-03-13","1","101","same",499.0000000029686,1,"highLD","haken-hakken","same","AA","haken","hakken","M_haken.mp3","M_haken.mp3","same","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",6.212606095757468,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",885.2000000000116,1,"highLD","toshin-tosshin","same","AA","toshin","tosshin","M_toshin.mp3","F_toshin.mp3","different","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",6.785813608176908,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",1176.9999999970314,0,"highLD","toshin-tosshin","different","BA","toshin","tosshin","F_tosshin.mp3","M_toshin.mp3","different","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",7.070724107257755,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",323.80000000598375,1,"highLD","yusoo-yuusoo","same","BB","yusoo","yuusoo","M_yuusoo.mp3","M_yuusoo.mp3","same","Japanese","transport, transportation","mailing, posting","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",5.780126041262014,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",862.7999999999884,1,"highLD","hasan-hassan","same","AA","hasan","hassan","F_hasan.mp3","M_hasan.mp3","different","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",6.760182914514988,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1160.800000002957,1,"highLD","haku-haaku","different","BA","haku","haaku","M_haaku.mp3","F_haku.mp3","different","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",7.056864701572525,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",2102.399999994028,0,"highLD","hasan-hassan","different","AB","hasan","hassan","M_hasan.mp3","F_hassan.mp3","different","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",7.650834828287451,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",694.2999999999302,0,"highLD","hasan-hassan","same","AA","hasan","hassan","M_hasan.mp3","F_hasan.mp3","different","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",6.542904143759127,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1159.7999999999884,1,"highLD","haku-haaku","different","AB","haku","haaku","F_haku.mp3","M_haaku.mp3","different","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",7.05600285544233,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1172.4000000059605,1,"highLD","haken-hakken","different","BA","haken","hakken","F_hakken.mp3","M_haken.mp3","different","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",7.066808208841821,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
