sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.138,341.2,304,312.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.148,342.3,305.2,314.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.158,343.2,306.8,315.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.168,343.7,309.2,317.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.178,343.4,310.9,318.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.188,341.4,312.3,319.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.198,337.7,313.3,319.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.208,326.9,314.1,317.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.218,313.9,314.6,314.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.228,298.7,314.6,310.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.238,281.9,314.5,306,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.248,263.7,314.2,300.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.258,244.1,313.9,294.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.268,229.2,313.1,289.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.278,216.8,312.3,285.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.288,206.8,311.4,281.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.298,198.3,310.5,277.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.308,190.5,309.3,274,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.318,183.3,308,270.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.328,177.3,304.5,266,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.338,174.3,294.8,258.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.348,NA,275.3,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.358,NA,250.9,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.368,NA,231.3,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.378,153,220.6,201.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.388,152.4,213.1,195.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.398,150.9,203.9,189.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.408,148.5,191.2,179.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.418,144.1,175,166.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.078,307.6,276.5,276.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.088,314.3,282.2,282.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.098,321.2,288.3,288.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.108,328.4,293.8,293.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.118,334.2,298.4,298.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.128,338.5,302,302,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.138,341.2,304,304,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.148,342.3,305.2,305.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.158,343.2,306.8,306.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.168,343.7,309.2,309.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.178,343.4,310.9,310.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.188,341.4,312.3,312.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.198,337.7,313.3,313.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.208,326.9,314.1,314.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.218,313.9,314.6,314.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.228,298.7,314.6,314.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.238,281.9,314.5,314.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.248,263.7,314.2,314.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.258,244.1,313.9,313.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.268,229.2,313.1,313.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.278,216.8,312.3,312.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.288,206.8,311.4,311.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.298,198.3,310.5,310.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.308,190.5,309.3,309.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.318,183.3,308,308,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.328,177.3,304.5,304.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.338,174.3,294.8,294.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.348,NA,275.3,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.358,NA,250.9,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.368,NA,231.3,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.378,153,220.6,220.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.388,152.4,213.1,213.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.398,150.9,203.9,203.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.408,148.5,191.2,191.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,1,0.418,144.1,175,175,log
