endpoint1,endpoint2,step,time_index,time,formant,frequency
reason_1,risen_1,7,4,0.058,1,388
reason_1,risen_1,7,4,0.058,2,1533
reason_1,risen_1,7,4,0.058,3,2469
reason_1,risen_1,7,5,0.066,1,391
reason_1,risen_1,7,5,0.066,2,1651
reason_1,risen_1,7,5,0.066,3,2553
reason_1,risen_1,7,6,0.074,1,396
reason_1,risen_1,7,6,0.074,2,1769
reason_1,risen_1,7,6,0.074,3,2603
reason_1,risen_1,7,7,0.083,1,404
reason_1,risen_1,7,7,0.083,2,1887
reason_1,risen_1,7,7,0.083,3,2651
reason_1,risen_1,7,8,0.091,1,415
reason_1,risen_1,7,8,0.091,2,2038
reason_1,risen_1,7,8,0.091,3,2724
reason_1,risen_1,7,9,0.099,1,424
reason_1,risen_1,7,9,0.099,2,2099
reason_1,risen_1,7,9,0.099,3,2799
reason_1,risen_1,7,10,0.107,1,431
reason_1,risen_1,7,10,0.107,2,2125
reason_1,risen_1,7,10,0.107,3,2849
reason_1,risen_1,7,11,0.116,1,436
reason_1,risen_1,7,11,0.116,2,2132
reason_1,risen_1,7,11,0.116,3,2895
reason_1,risen_1,7,12,0.124,1,441
reason_1,risen_1,7,12,0.124,2,2135
reason_1,risen_1,7,12,0.124,3,2942
reason_1,risen_1,7,13,0.132,1,446
reason_1,risen_1,7,13,0.132,2,2136
reason_1,risen_1,7,13,0.132,3,2983
reason_1,risen_1,7,14,0.14,1,452
reason_1,risen_1,7,14,0.14,2,2126
reason_1,risen_1,7,14,0.14,3,3011
reason_1,risen_1,7,15,0.149,1,459
reason_1,risen_1,7,15,0.149,2,2139
reason_1,risen_1,7,15,0.149,3,3019
reason_1,risen_1,7,16,0.157,1,466
reason_1,risen_1,7,16,0.157,2,2156
reason_1,risen_1,7,16,0.157,3,2997
reason_1,risen_1,7,17,0.165,1,470
reason_1,risen_1,7,17,0.165,2,2153
reason_1,risen_1,7,17,0.165,3,2969
reason_1,risen_1,7,18,0.173,1,472
reason_1,risen_1,7,18,0.173,2,2140
reason_1,risen_1,7,18,0.173,3,2956
reason_1,risen_1,7,19,0.182,1,472
reason_1,risen_1,7,19,0.182,2,2126
reason_1,risen_1,7,19,0.182,3,2958
reason_1,risen_1,7,20,0.19,1,471
reason_1,risen_1,7,20,0.19,2,2141
reason_1,risen_1,7,20,0.19,3,2960
reason_1,risen_1,7,21,0.198,1,468
reason_1,risen_1,7,21,0.198,2,2132
reason_1,risen_1,7,21,0.198,3,2948
reason_1,risen_1,7,22,0.206,1,461
reason_1,risen_1,7,22,0.206,2,2109
reason_1,risen_1,7,22,0.206,3,2950
reason_1,risen_1,7,23,0.215,1,452
reason_1,risen_1,7,23,0.215,2,2085
reason_1,risen_1,7,23,0.215,3,2962
reason_1,risen_1,7,24,0.223,1,441
reason_1,risen_1,7,24,0.223,2,2059
reason_1,risen_1,7,24,0.223,3,2971
