"local_date","session","ID","exp_group","response","reaction_time","correct","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","days_between","log_rt","median_rt","mad","upper_mad","lower_mad"
"2025-04-28","1","4","High LD","same",279.1000000000058,1,"hasan-hassan","same","BB","hasan","hassan","F_hassan.mp3","M_hassan.mp3","different","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.631570140542298,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",314.0000000000582,1,"obasan-obaasan","different","BA","obasan","obaasan","M_obaasan.mp3","M_obasan.mp3","same","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",26,5.749392985908439,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",289.29999999998836,1,"obasan-obaasan","same","BB","obasan","obaasan","F_obaasan.mp3","M_obaasan.mp3","different","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",26,5.6674642119820495,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",973.4000000000524,1,"toshin-tosshin","same","AA","toshin","tosshin","F_toshin.mp3","M_toshin.mp3","different","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.880795097399408,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",542.7999999999593,1,"ojisan-ojiisan","same","BB","ojisan","ojiisan","F_ojiisan.mp3","M_ojiisan.mp3","different","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.296740927960639,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",737.6999999999534,1,"haku-haaku","same","AA","haku","haaku","M_haku.mp3","M_haku.mp3","same","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.603537237890193,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",274.8999999999651,1,"haken-hakken","same","BB","haken","hakken","M_hakken.mp3","F_hakken.mp3","different","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.616407395171073,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",352.0000000000582,1,"shiru-shiiru","same","AA","shiru","shiiru","F_shiru.mp3","M_shiru.mp3","different","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,5.863631175598263,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",740.8000000001048,1,"jutaku-juutaku","same","BB","jutaku","juutaku","F_juutaku.mp3","M_juutaku.mp3","different","Japanese","entrustment, commission, taking charge","residence, housing","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.607730683332111,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",744.6999999999534,1,"nishi-nisshi","different","BA","nishi","nisshi","M_nisshi.mp3","F_nishi.mp3","different","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.612981452716538,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",858.4000000000524,1,"heta-hetta","same","AA","heta","hetta","F_heta.mp3","M_heta.mp3","different","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.75507019131655,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",788.1999999999534,1,"ishoku-isshoku","same","BB","ishoku","isshoku","M_isshoku.mp3","F_isshoku.mp3","different","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.669751864760844,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",352.5,1,"gaki-gakki","same","AA","gaki","gakki","M_gaki.mp3","M_gaki.mp3","same","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.8650506222523235,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",740.3999999999069,1,"saka-sakka","different","AB","saka","sakka","F_saka.mp3","M_sakka.mp3","different","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.607190580699217,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",363.30000000004657,1,"haku-haaku","different","AB","haku","haaku","M_haku.mp3","F_haaku.mp3","different","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",26,5.895228939227285,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",484.60000000009313,1,"ishoku-isshoku","same","BB","ishoku","isshoku","F_isshoku.mp3","F_isshoku.mp3","same","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.183323808382617,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",629.8000000001048,1,"shiru-shiiru","same","BB","shiru","shiiru","M_shiiru.mp3","F_shiiru.mp3","different","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.445402308667091,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",342.29999999993015,1,"ojisan-ojiisan","different","AB","ojisan","ojiisan","F_ojisan.mp3","M_ojiisan.mp3","different","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,5.835687545535936,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",279.9999999999418,1,"nishi-nisshi","same","AA","nishi","nisshi","M_nishi.mp3","F_nishi.mp3","different","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.634789603169041,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",519.8999999999651,1,"nishi-nisshi","same","BB","nishi","nisshi","M_nisshi.mp3","M_nisshi.mp3","same","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.2536364853896025,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",672,1,"kasee-kassee","different","AB","kasee","kassee","M_kasee.mp3","F_kassee.mp3","different","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.5102583405231496,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",818.6000000000931,0,"jutaku-juutaku","same","BB","jutaku","juutaku","F_juutaku.mp3","M_juutaku.mp3","different","Japanese","entrustment, commission, taking charge","residence, housing","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.707595564058416,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",365.3000000001048,1,"haken-hakken","same","AA","haken","hakken","F_haken.mp3","F_haken.mp3","same","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.900718933801524,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",659.0000000000582,1,"haku-haaku","same","BB","haku","haaku","F_haaku.mp3","M_haaku.mp3","different","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.490723534502596,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",2044.2999999999304,1,"ite-itte","same","AA","ite","itte","F_ite.mp3","F_ite.mp3","same","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,7.622810711590928,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",432.2000000000117,1,"nishi-nisshi","different","AB","nishi","nisshi","M_nishi.mp3","M_nisshi.mp3","same","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.068888444072813,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",269.4000000000233,1,"ite-itte","different","BA","ite","itte","M_itte.mp3","F_ite.mp3","different","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.59619726397635,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
