"local_date","session","ID","exp_group","response","reaction_time","correct","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","days_between"
"2025-04-03","1","1","Low LD","different",780.1000000000058,1,"gaki-gakki","different","AB","gaki","gakki","M_gaki.mp3","M_gakki.mp3","same","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",487.9000000715314,1,"jutaku-juutaku","same","BB","jutaku","juutaku","M_juutaku.mp3","M_juutaku.mp3","same","Japanese","entrustment, commission, taking charge","residence, housing","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",740.6000000238419,1,"toshin-tosshin","same","AA","toshin","tosshin","F_toshin.mp3","M_toshin.mp3","different","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",880.8000000238535,1,"shiru-shiiru","different","BA","shiru","shiiru","F_shiiru.mp3","M_shiru.mp3","different","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",868.1000000476779,1,"ite-itte","same","BB","ite","itte","F_itte.mp3","F_itte.mp3","same","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",551.5,1,"haken-hakken","same","BB","haken","hakken","M_hakken.mp3","F_hakken.mp3","different","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",467.9000000715314,1,"jutaku-juutaku","same","BB","jutaku","juutaku","F_juutaku.mp3","F_juutaku.mp3","same","Japanese","entrustment, commission, taking charge","residence, housing","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",464.3000000238535,1,"obasan-obaasan","same","AA","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","different","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",340.2000000238186,1,"ojisan-ojiisan","same","AA","ojisan","ojiisan","F_ojisan.mp3","F_ojisan.mp3","same","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",579.5999999999767,1,"toshin-tosshin","same","AA","toshin","tosshin","F_toshin.mp3","M_toshin.mp3","different","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",784.4999999761349,1,"saka-sakka","different","AB","saka","sakka","F_saka.mp3","M_sakka.mp3","different","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",762.7000000715489,1,"kasee-kassee","different","AB","kasee","kassee","M_kasee.mp3","M_kassee.mp3","same","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",775.7000000000116,1,"ishoku-isshoku","different","BA","ishoku","isshoku","M_isshoku.mp3","M_ishoku.mp3","same","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",1063.3000000238535,1,"nishi-nisshi","same","AA","nishi","nisshi","F_nishi.mp3","M_nishi.mp3","different","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",662.1000000238419,1,"obasan-obaasan","different","AB","obasan","obaasan","M_obasan.mp3","F_obaasan.mp3","different","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",752.0000000715372,1,"saka-sakka","different","AB","saka","sakka","F_saka.mp3","M_sakka.mp3","different","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",1863.3000000715256,0,"ojisan-ojiisan","same","BB","ojisan","ojiisan","F_ojiisan.mp3","M_ojiisan.mp3","different","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",1025.8000000715256,1,"iso-isso","different","AB","iso","isso","F_iso.mp3","F_isso.mp3","same","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",591.7000000715489,1,"ojisan-ojiisan","same","BB","ojisan","ojiisan","F_ojiisan.mp3","F_ojiisan.mp3","same","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",1105,1,"kasee-kassee","same","BB","kasee","kassee","M_kassee.mp3","F_kassee.mp3","different","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",966.7000000000116,1,"haku-haaku","different","BA","haku","haaku","M_haaku.mp3","F_haku.mp3","different","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",717.9000000000233,1,"iso-isso","different","AB","iso","isso","F_iso.mp3","F_isso.mp3","same","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",814.4000000000233,1,"shiru-shiiru","same","BB","shiru","shiiru","F_shiiru.mp3","M_shiiru.mp3","different","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",818.0999999761698,1,"gaki-gakki","different","BA","gaki","gakki","F_gakki.mp3","M_gaki.mp3","different","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",636.2000000715489,1,"jutaku-juutaku","same","AA","jutaku","juutaku","M_jutaku.mp3","M_jutaku.mp3","same","Japanese","entrustment, commission, taking charge","residence, housing","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",916.4000000000232,1,"saka-sakka","different","BA","saka","sakka","M_sakka.mp3","F_saka.mp3","different","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",566.6000000000349,1,"haken-hakken","different","AB","haken","hakken","M_haken.mp3","F_hakken.mp3","different","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",610.3000000476604,1,"jutaku-juutaku","different","AB","jutaku","juutaku","M_jutaku.mp3","F_juutaku.mp3","different","Japanese","entrustment, commission, taking charge","residence, housing","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",716.0999999999767,1,"haku-haaku","different","AB","haku","haaku","M_haku.mp3","F_haaku.mp3","different","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",861.4000000238302,1,"shiru-shiiru","same","BB","shiru","shiiru","M_shiiru.mp3","F_shiiru.mp3","different","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",723.4999999761349,1,"obasan-obaasan","different","AB","obasan","obaasan","M_obasan.mp3","M_obaasan.mp3","same","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
